tax_set_name,country_name,tax_rate_name,tax_rate_percent
STANDARD_NEW,Germany,Germany Standard NEW,19
LOW_NEW,Germany,Germany Reduced NEW,7
ZERO,Germany,Germany Taxfree,0
Shipment Taxes,Germany,Germany Shipment Tax,19
