key,translation,locale
page.checkout.address.address-example,Beispiel:</br>Wayne Manor 1</br>10292 Gotham City</br>z.H. Alfred Pennyworth,de_DE
page.checkout.address.address-example,Example:</br>Wayne Manor 1</br>10292 Gotham City</br>z.H. Alfred Pennyworth,en_US
page.checkout.address.next-step,Weiter - Lieferart wählen,de_DE
page.checkout.address.next-step,Continue to Shippment Method,en_US
page.checkout.address.edit,Adresse bearbeiten,de_DE
page.checkout.address.edit,edit Address Data,en_US
page.checkout.address.use_selected_address,Use selected address,en_US
page.checkout.address.use_selected_address,Ausgewählte Addresse benutzen,de_DE
page.checkout.address.different_delivery_address,Use a different delivery address,en_US
page.checkout.address.different_delivery_address,Eine andere Addresse benutzen,de_DE
page.checkout.address.different_billing_address,Use a different billing address,en_US
page.checkout.address.different_billing_address, Eine andere Rechnungsadresse verwenden,de_DE
page.checkout.address.option_group.customer,Customer addresses,en_US
page.checkout.address.option_group.customer,Kundenaddresse,de_DE
page.checkout.address.option_group.company_business_unit,Business addresses,en_US
page.checkout.address.option_group.company_business_unit,Addresse der Geschäftseinheit,de_DE
page.checkout.address.delivery.address_select,Select a delivery address,en_US
page.checkout.address.delivery.address_select,Wähle eine Lieferadresse,de_DE
page.checkout.address.billing.address_select,Select a billing address,en_US
page.checkout.address.billing.address_select,Wählen Sie Ihre Rechnungsadresse,de_DE
page.checkout.address.manage_your_addresses,"Manage your addresses",en_US
page.checkout.address.manage_your_addresses,"Verwalte deine Adressen",de_DE
page.checkout.address.address_select.label,Select a delivery address,en_US
page.checkout.address.address_select.label,Wähle eine Lieferadresse,de_DE
page.checkout.address.address_select.placeholder,Select an address,en_US
page.checkout.address.address_select.placeholder,Wählen Sie eine Adresse,de_DE
page.checkout.address.multi_shipment.title,Assign each product to its own delivery address,en_US
page.checkout.address.multi_shipment.title,Jedes Produkt seiner eigenen Lieferadresse zuweisen,de_DE
page.checkout.shipment.heading,2. Lieferart wählen,de_DE
page.checkout.shipment.heading,2. Shipping Method,en_US
shipment.standart.name,Standard,de_DE
shipment.standart.name,Standard,en_US
shipment.express.name,Express,de_DE
shipment.express.name,Express,en_US
shipment.standart.description,2-4 Werktage,de_DE
shipment.standart.description,2-4 working days,en_US
page.checkout.shipping.delivery_time,Lieferzeit:,de_DE
page.checkout.shipping.delivery_time,Delivery time:,en_US
page.checkout.shipping.day,day,en_US
page.checkout.shipping.day,Tag,de_DE
page.checkout.shipping.days,days,en_US
page.checkout.shipping.days,Tage,de_DE
page.checkout.shipping.price,Preis:,de_DE
page.checkout.shipping.price,Price:,en_US
shipment.express.description,innerhalb von 24-48 Stunden (Werktage),de_DE
shipment.express.description,24-48 hours (working days),en_US
page.checkout.shipment.title,Click & Collect,de_DE
page.checkout.shipment.title,Click & Collect,en_US
page.checkout.shipment.edit,Lieferart bearbeiten,de_DE
page.checkout.shipment.edit,edit Shipment Method,en_US
page.checkout.shipment.next-step,Weiter - Zahlungsart wählen,de_DE
page.checkout.shipment.next-step,Continue to Payment Method,en_US
page.checkout.shipment.item.quantity,Amount,de_DE
page.checkout.shipment.item.quantity,Amount,en_US
page.checkout.shipment.item.price,Price,de_DE
page.checkout.shipment.item.price,Price,en_US
page.checkout.shipment.shipping_address.title,Delivery address,de_DE
page.checkout.shipment.shipping_address.title,Delivery address,en_US
page.checkout.shipment.requested_delivery_date.label,Requested delivery date,de_DE
page.checkout.shipment.requested_delivery_date.label,Requested delivery date,en_US
page.checkout.shipment.requested_delivery_date.placeholder,Leave it empty if you want it ASAP,de_DE
page.checkout.shipment.requested_delivery_date.placeholder,Leave it empty if you want it ASAP,en_US
page.checkout.shipment.requested_delivery_date.title,When do you want to be delivered?,de_DE
page.checkout.shipment.requested_delivery_date.title,When do you want to be delivered?,en_US
page.checkout.shipment.shipment_group_heading,Lieferung %current% von %total%,de_DE
page.checkout.shipment.shipment_group_heading,Shipment %current% of %total%,en_US
page.checkout.shipping.delivery_time,Delivery time,de_DE
page.checkout.shipping.delivery_time,Delivery time,en_US
