shipment_method_key,store
click_and_collect,OST
lieferung,OST
click_and_collect,OLO
lieferung,OLO
click_and_collect,ZLI
lieferung,ZLI
click_and_collect,LIB
lieferung,LIB
click_and_collect,CAK
lieferung,CAK
click_and_collect,CCM
lieferung,CCM
