"Scenarios overview","Scenarios overview"
"Create New Scenario","Create New Scenario"
"Create Scenario","Create Scenario"
"Back to Scenario","Back to Scenario"
"Edit Scenario","Edit Scenario"
"Scenario data","Scenario data"
