StoreID;Regal;Regalmeter;Ebene;Reihenfolge
1057;700;0;0;101000000
1057;700;0;1;101000001
1057;700;0;2;101000002
1057;700;0;3;101000003
1057;700;0;4;101000004
1057;700;0;5;101000005
1057;700;0;6;101000006
1057;700;0;7;101000007
1057;700;0;8;101000008
1057;700;0;9;101000009
1057;700;1;0;101001000
1057;700;1;1;101001001
1057;700;1;2;101001002
1057;700;1;3;101001003
1057;700;1;4;101001004
1057;700;1;5;101001005
1057;700;1;6;101001006
1057;700;1;7;101001007
1057;700;1;8;101001008
1057;700;1;9;101001009
1057;700;2;0;101002000
1057;700;2;1;101002001
1057;700;2;2;101002002
1057;700;2;3;101002003
1057;700;2;4;101002004
1057;700;2;5;101002005
1057;700;2;6;101002006
1057;700;2;7;101002007
1057;700;2;8;101002008
1057;700;2;9;101002009
1057;700;3;0;101003000
1057;700;3;1;101003001
1057;700;3;2;101003002
1057;700;3;3;101003003
1057;700;3;4;101003004
1057;700;3;5;101003005
1057;700;3;6;101003006
1057;700;3;7;101003007
1057;700;3;8;101003008
1057;700;3;9;101003009
1057;700;4;0;101004000
1057;700;4;1;101004001
1057;700;4;2;101004002
1057;700;4;3;101004003
1057;700;4;4;101004004
1057;700;4;5;101004005
1057;700;4;6;101004006
1057;700;4;7;101004007
1057;700;4;8;101004008
1057;700;4;9;101004009
1057;700;5;0;101005000
1057;700;5;1;101005001
1057;700;5;2;101005002
1057;700;5;3;101005003
1057;700;5;4;101005004
1057;700;5;5;101005005
1057;700;5;6;101005006
1057;700;5;7;101005007
1057;700;5;8;101005008
1057;700;5;9;101005009
1057;700;6;0;101006000
1057;700;6;1;101006001
1057;700;6;2;101006002
1057;700;6;3;101006003
1057;700;6;4;101006004
1057;700;6;5;101006005
1057;700;6;6;101006006
1057;700;6;7;101006007
1057;700;6;8;101006008
1057;700;6;9;101006009
1057;700;7;0;101007000
1057;700;7;1;101007001
1057;700;7;2;101007002
1057;700;7;3;101007003
1057;700;7;4;101007004
1057;700;7;5;101007005
1057;700;7;6;101007006
1057;700;7;7;101007007
1057;700;7;8;101007008
1057;700;7;9;101007009
1057;700;8;0;101008000
1057;700;8;1;101008001
1057;700;8;2;101008002
1057;700;8;3;101008003
1057;700;8;4;101008004
1057;700;8;5;101008005
1057;700;8;6;101008006
1057;700;8;7;101008007
1057;700;8;8;101008008
1057;700;8;9;101008009
1057;700;9;0;101009000
1057;700;9;1;101009001
1057;700;9;2;101009002
1057;700;9;3;101009003
1057;700;9;4;101009004
1057;700;9;5;101009005
1057;700;9;6;101009006
1057;700;9;7;101009007
1057;700;9;8;101009008
1057;700;9;9;101009009
1057;700;10;0;101010000
1057;700;10;1;101010001
1057;700;10;2;101010002
1057;700;10;3;101010003
