ordernumber|sapnumber|sap_unit|name|description_long|supplier|tax|ballaststoffe|fettefettungsaeurenp100gml|eiweissp100gml|energiekcalp100gml|energiekjp100gml|fettp100gml|fettefettgsaeurenp100gml|kohlhyalkp100gml|kohlstrp100gml|kohlzkrp100gml|kohlp100gml|fettefettmgsaeurenp100gml|salz100gml|alkgeh|mainimage_filename|entallerg|mentallerg|zutaten|bio|vegan|vegetarisch|laktosefrei|glutenfrei|fairtrade|pfandpflicht|pfandbetrag|artikeltyp|fsk|inverkehrbringer|grundpreispflicht|grundpreisinhalt|grundpreismasseinheit|grundeinheit|verpackungseinheit|groupid|active|bontext|sapwgr|herkunftsland|pfand_1_sapnumber|pfand_1_plu|pfand_1_count|pfand_1_amount|pfand_2_sapnumber|pfand_2_plu|pfand_2_count|pfand_2_amount|handelsklasse|einzelgewicht|herkunftsland_o_g|nonfoodingredients|warnhinweise|verwendungshinweise|temperaturecondition|Pickzone|orderlimit|pet_feeding_table|SAP-WGR|Zusatzkategorie|Altersempfehlung|NOS Artikel|Classification_ID
2000485528004|99002767|KG|Banane, lose|Detaillierte Informationen zu diesem Artikel (u.a. Ursprungsland) finden Sie an der Verpackung des Produkts bzw. an dem Preisschild in Ihrem Markt vor Ort.|keine Marke|5|||||||||||||||46878443.jpg||||0|0|0|0|0|0|||""|||1|1.000|kg|1|Kilogramm|0|1|Bananen lose|736|Deutschland||||||||||0.18|Costa Rica;Guatemala;Ecuador;Kolumbien||||+9 bis +12 °C|Obst+Gemüse|50||736W0030 OG Bananen KG|||1|cls_de_cc_120300
2070000248960|4416621|ST|Erdbeeren, Schale|Detaillierte Informationen zu diesem Artikel (u.a. Ursprungsland) finden Sie an der Verpackung des Produkts bzw. an dem Preisschild in Ihrem Markt vor Ort.|keine Marke|5|||||||||||||||41269124.jpg||||0|0|0|0|0|0|||Erdbeeren|||0|250.000|g|100|Stück|0|1|Erdbeeren 250g|736||||||||||I||Niederlande;Deutschland||||+5 bis +7 °C|Obst+Gemüse|50||736W0100 OG Beerenobst ST|||1|cls_de_cc_120400
