StoreID;Regal;Regalmeter;Ebene;Reihenfolge
1042;20;0;0;101000000
1042;20;0;1;101000001
1042;20;0;2;101000002
1042;20;0;3;101000003
1042;20;0;4;101000004
1042;20;0;5;101000005
1042;20;0;6;101000006
1042;20;0;7;101000007
1042;20;0;8;101000008
1042;20;0;9;101000009
1042;20;1;0;101001000
1042;20;1;1;101001001
1042;20;1;2;101001002
1042;20;1;3;101001003
1042;20;1;4;101001004
1042;20;1;5;101001005
1042;20;1;6;101001006
1042;20;1;7;101001007
1042;20;1;8;101001008
1042;20;1;9;101001009
1042;20;2;0;101002000
1042;20;2;1;101002001
1042;20;2;2;101002002
1042;20;2;3;101002003
1042;20;2;4;101002004
1042;20;2;5;101002005
1042;20;2;6;101002006
1042;20;2;7;101002007
1042;20;2;8;101002008
1042;20;2;9;101002009
1042;20;3;0;101003000
1042;20;3;1;101003001
1042;20;3;2;101003002
1042;20;3;3;101003003
1042;20;3;4;101003004
1042;20;3;5;101003005
1042;20;3;6;101003006
1042;20;3;7;101003007
1042;20;3;8;101003008
1042;20;3;9;101003009
1042;20;4;0;101004000
1042;20;4;1;101004001
1042;20;4;2;101004002
1042;20;4;3;101004003
1042;20;4;4;101004004
1042;20;4;5;101004005
1042;20;4;6;101004006
1042;20;4;7;101004007
1042;20;4;8;101004008
1042;20;4;9;101004009
1042;20;5;0;101005000
1042;20;5;1;101005001
1042;20;5;2;101005002
1042;20;5;3;101005003
1042;20;5;4;101005004
1042;20;5;5;101005005
1042;20;5;6;101005006
1042;20;5;7;101005007
1042;20;5;8;101005008
1042;20;5;9;101005009
1042;20;6;0;101006000
1042;20;6;1;101006001
1042;20;6;2;101006002
1042;20;6;3;101006003
1042;20;6;4;101006004
1042;20;6;5;101006005
1042;20;6;6;101006006
1042;20;6;7;101006007
1042;20;6;8;101006008
1042;20;6;9;101006009
1042;20;7;0;101007000
1042;20;7;1;101007001
1042;20;7;2;101007002
1042;20;7;3;101007003
1042;20;7;4;101007004
1042;20;7;5;101007005
1042;20;7;6;101007006
1042;20;7;7;101007007
1042;20;7;8;101007008
1042;20;7;9;101007009
1042;20;8;0;101008000
1042;20;8;1;101008001
1042;20;8;2;101008002
1042;20;8;3;101008003
1042;20;8;4;101008004
1042;20;8;5;101008005
1042;20;8;6;101008006
1042;20;8;7;101008007
1042;20;8;8;101008008
1042;20;8;9;101008009
1042;20;9;0;101009000
1042;20;9;1;101009001
1042;20;9;2;101009002
1042;20;9;3;101009003
1042;20;9;4;101009004
1042;20;9;5;101009005
1042;20;9;6;101009006
1042;20;9;7;101009007
1042;20;9;8;101009008
1042;20;9;9;101009009
1042;20;10;0;101010000
1042;20;10;1;101010001
1042;20;10;2;101010002
1042;20;10;3;101010003
1042;20;10;4;101010004
1042;20;10;5;101010005
1042;20;10;6;101010006
1042;20;10;7;101010007
1042;20;10;8;101010008
1042;20;10;9;101010009
1042;20;11;0;101011000
1042;20;11;1;101011001
1042;20;11;2;101011002
1042;20;11;3;101011003
1042;20;11;4;101011004
1042;20;11;5;101011005
1042;20;11;6;101011006
1042;20;11;7;101011007
1042;20;11;8;101011008
1042;20;11;9;101011009
1042;20;12;0;101012000
1042;20;12;1;101012001
1042;20;12;2;101012002
1042;20;12;3;101012003
1042;20;12;4;101012004
1042;20;12;5;101012005
1042;20;12;6;101012006
1042;20;12;7;101012007
1042;20;12;8;101012008
1042;20;12;9;101012009
1042;20;13;0;101013000
1042;20;13;1;101013001
1042;20;13;2;101013002
1042;20;13;3;101013003
1042;20;13;4;101013004
1042;20;13;5;101013005
1042;20;13;6;101013006
1042;20;13;7;101013007
1042;20;13;8;101013008
1042;20;13;9;101013009
1042;20;14;0;101014000
1042;20;14;1;101014001
1042;20;14;2;101014002
1042;20;14;3;101014003
1042;20;14;4;101014004
1042;20;14;5;101014005
1042;20;14;6;101014006
1042;20;14;7;101014007
1042;20;14;8;101014008
1042;20;14;9;101014009
1042;20;15;0;101015000
1042;20;15;1;101015001
1042;20;15;2;101015002
1042;20;15;3;101015003
1042;20;15;4;101015004
1042;20;15;5;101015005
1042;20;15;6;101015006
1042;20;15;7;101015007
1042;20;15;8;101015008
1042;20;15;9;101015009
1042;20;16;0;101016000
1042;20;16;1;101016001
1042;20;16;2;101016002
1042;20;16;3;101016003
1042;20;16;4;101016004
1042;20;16;5;101016005
1042;20;16;6;101016006
1042;20;16;7;101016007
1042;20;16;8;101016008
1042;20;16;9;101016009
1042;20;17;0;101017000
1042;20;17;1;101017001
1042;20;17;2;101017002
1042;20;17;3;101017003
1042;20;17;4;101017004
1042;20;17;5;101017005
1042;20;17;6;101017006
1042;20;17;7;101017007
1042;20;17;8;101017008
1042;20;17;9;101017009
1042;20;18;0;101018000
1042;20;18;1;101018001
1042;20;18;2;101018002
1042;20;18;3;101018003
1042;20;18;4;101018004
1042;20;18;5;101018005
1042;20;18;6;101018006
1042;20;18;7;101018007
1042;20;18;8;101018008
1042;20;18;9;101018009
1042;20;19;0;101019000
1042;20;19;1;101019001
1042;20;19;2;101019002
1042;20;19;3;101019003
1042;20;19;4;101019004
1042;20;19;5;101019005
1042;20;19;6;101019006
1042;20;19;7;101019007
1042;20;19;8;101019008
1042;20;19;9;101019009
1042;20;20;0;101020000
1042;20;20;1;101020001
1042;20;20;2;101020002
1042;20;20;3;101020003
1042;20;20;4;101020004
