ordernumber|sapnumber|sap_unit|name|description_long|supplier|tax|ballaststoffe|fettefettungsaeurenp100gml|eiweissp100gml|energiekcalp100gml|energiekjp100gml|fettp100gml|fettefettgsaeurenp100gml|kohlhyalkp100gml|kohlstrp100gml|kohlzkrp100gml|kohlp100gml|fettefettmgsaeurenp100gml|salz100gml|alkgeh|mainimage_filename|entallerg|mentallerg|zutaten|bio|vegan|vegetarisch|laktosefrei|glutenfrei|fairtrade|pfandpflicht|pfandbetrag|artikeltyp|fsk|inverkehrbringer|grundpreispflicht|grundpreisinhalt|grundpreismasseinheit|grundeinheit|verpackungseinheit|groupid|active|bontext|sapwgr|herkunftsland|pfand_1_sapnumber|pfand_1_plu|pfand_1_count|pfand_1_amount|pfand_2_sapnumber|pfand_2_plu|pfand_2_count|pfand_2_amount|handelsklasse|einzelgewicht|herkunftsland_o_g|nonfoodingredients|warnhinweise|verwendungshinweise|temperaturecondition|pickzone|orderlimit|pet_feeding_table|SAP-WGR|Zusatzkategorie|Altersempfehlung|NOS Artikel|Classification_ID
287017|287017|ST|Hausmacher Blutwurst|Portioniert zu je ca. 300 g im Ring. Gewichtsabweichung max. +/-10%; Aufgezogen und geschlachtet in der EU|Globus|5|||||||||||||||287017.jpg|||Zutaten: Schweinefleisch, 25% Speck, Schwarten, Schweineblut, iodiertes Nitritpökelsalz (Kochsalz, Kaliumiodat, Konservierungsstoff Natriumnitrit), Gewürze, Zwiebeln, Schweinedarm, Buchenholzrauch|0|0|0|0|0|0|||Fachmetzgerei||Globus SB-Warenhaus Holding GmbH & Co. KG, Leipziger Str. 8, 66606 St. Wendel, Deutschland|1|1|kg|1|Kilogramm|0|1|Metzgerei|600|||||||||||0,3|||||||50|||1011|||cls_de_cc_310200
287018|287018|ST|Hausmacher Leberwurst|Portioniert zu je ca. 300 g im Ring. Gewichtsabweichung max. +/-10%; Aufgezogen und geschlachtet in der EU|Globus|5|||||||||||||||287018.jpg|||Zutaten: Schweinefleisch, 20% Schweineleber, Speck, iodiertes Speisesalz (Kochsalz, Kaliumiodat), Gewürze, Schweinedarm, Buchenholzrauch|0|0|0|0|0|0|||Fachmetzgerei||Globus SB-Warenhaus Holding GmbH & Co. KG, Leipziger Str. 8, 66606 St. Wendel, Deutschland|1|1|kg|1|Kilogramm|0|1|Metzgerei|600|||||||||||0,3|||||||50|||1011|||cls_de_cc_310200
287020|287020|ST|Westphalische Knacker|Inhalt: 5 Stück in Verpackung, Gewichtsabweichung max. +/-10%; Aufgezogen und geschlachtet in der EU|Globus|5|||||||||||||||287020.jpg|||Zutaten: Schweinefleisch, iodiertes Nitritpökelsalz (Kochsalz, Kaliumiodat, Konservierungsstoff Natriumnitrit), Gewürze, Glucosesirup, Dextrose, Geschmacksverstärker Mononatriumglutamat E 621, Säuerungsmittel Citronensäure E 330, Antioxidationsmittel Ascorbinsäure E 300, Säuerungsmittel Glucono-Delta-Lacton E 575, Schweinedarm , Aromen, Buchenholzrauch|0|0|0|0|0|0|||Fachmetzgerei||Globus SB-Warenhaus Holding GmbH & Co. KG, Leipziger Str. 8, 66606 St. Wendel, Deutschland|1|1|kg|1|Kilogramm|0|1|Metzgerei|600|||||||||||0,4|||||||50|||1011|||cls_de_cc_310200
287021|287021|ST|Dürrfleisch|Portioniert zu je ca. 250 g. Gewichtsabweichung max. +/-10%; Aufgezogen und geschlachtet in der EU|Globus|5|||||||||||||||287021.jpg|||Zutaten: Schweinebauch, iodiertes Nitritpökelsalz (Kochsalz, Kaliumiodat, Konservierungsstoff Natriumnitrit), Rauch|0|0|0|0|0|0|||Fachmetzgerei||Globus SB-Warenhaus Holding GmbH & Co. KG, Leipziger Str. 8, 66606 St. Wendel, Deutschland|1|1|kg|1|Kilogramm|0|1|Metzgerei|600|||||||||||0,25|||||||50|||1011|||cls_de_cc_320300
287022|287022|ST|Mettwurst fein|Portioniert zu je ca. 200 g. Gewichtsabweichung max. +/-10%; Aufgezogen und geschlachtet in der EU|Globus|5|||||||||||||||287022_1.jpg|||Zutaten: 80% Schweinefleisch, Speck, iodiertes Nitritpökelsalz (Kochsalz, Kaliumiodat, Konservierungsstoff Natriumnitrit), Gewürze, Glucosesirup, Dextrose, Geschmacksverstärker Mononatriumglutamat E 621, Säuerungsmittel Glucono-Delta-Lacton E 575, Säuerungsmittel Citronensäure E 330, Antioxidationsmittel Ascorbinsäure E 300, nicht essbare Hülle, natürliche Aromen, Buchenholzrauch|0|0|0|0|0|0|||Fachmetzgerei||Globus SB-Warenhaus Holding GmbH & Co. KG, Leipziger Str. 8, 66606 St. Wendel, Deutschland|1|1|kg|1|Kilogramm|0|1|Metzgerei|600|||||||||||0,2|||||||50|||1011|||cls_de_cc_310200
287023|287023|ST|Braunschweiger Knackwurst mit Kümmel|Portioniert zu je ca. 350 g im Ring ohne Darm. Gewichtsabweichung max. +/-10%; Aufgezogen und geschlachtet in der EU|Globus|5|||||||||||||||287023_1.jpg|||Zutaten: Schweinefleisch, iodiertes Nitritpökelsalz (Kochsalz, Kaliumiodat, Konservierungsstoff Natriumnitrit), Gewürze, Glucosesirup, Dextrose, Geschmacksverstärker Mononatriumglutamat E 621, Antioxidationsmittel Ascorbinsäure E 300, Säuerungsmittel Glucono-Delta-Lacton E 575, Säuerungsmittel Citronensäure E 330,  Schweinedarm, Buchenholzrauch, Aromen|0|0|0|0|0|0|||Fachmetzgerei||Globus SB-Warenhaus Holding GmbH & Co. KG, Leipziger Str. 8, 66606 St. Wendel, Deutschland|1|1|kg|1|Kilogramm|0|1|Metzgerei|600|||||||||||0,35|||||||50|||1011|||cls_de_cc_310200
287026|287026|ST|Braunschweiger Knackwurst mit Knoblauch|Portioniert zu je ca. 350 g im Ring ohne Darm. Gewichtsabweichung max. +/-; Aufgezogen und geschlachtet in der EU|Globus|5|||||||||||||||287026.jpg|||Zutaten: Schweinefleisch, iodiertes Nitritpökelsalz (Kochsalz, Kaliumiodat, Konservierungsstoff Natriumnitrit), Gewürze, Glucosesirup, Dextrose, Geschmacksverstärker Mononatriumglutamat E 621, Antioxidationsmittel Ascorbinsäure E 300, Säuerungsmittel, Citronensäure, E 330 Säuerungsmittel Glucono-Delta-Lacton. E 575,  Schweinedarm, Buchenholzrauch, Aromen|0|0|0|0|0|0|||Fachmetzgerei||Globus SB-Warenhaus Holding GmbH & Co. KG, Leipziger Str. 8, 66606 St. Wendel, Deutschland|1|1|kg|1|Kilogramm|0|1|Metzgerei|600|||||||||||0,35|||||||50|||1011|||cls_de_cc_310200
287027|287027|ST|Rinderrouladen|Inhalt: 3 Stück in Verpackung, Gewichtsabweichung max. +/-10%; Aufgezogen und geschlachtet in der EU|Globus|5|||||||||||||||287027.jpg|||Zutaten: CHAROLAIS RINDERROULADEN AUS DER KEULE|0|0|0|0|0|0|||Fachmetzgerei||Globus SB-Warenhaus Holding GmbH & Co. KG, Leipziger Str. 8, 66606 St. Wendel, Deutschland|1|1|kg|1|Kilogramm|0|1|Metzgerei|600|||||||||||0,75|||||||50|||1011|||cls_de_cc_320300
287028|287028|ST|Rinderbraten Hals (Schmorbraten)|Portioniert zu je ca. 1 kg. Gewichtsabweichung max. +/-10%; Aufgezogen und geschlachtet in der EU|Globus|5|||||||||||||||287028.jpg|||Zutaten: CHAROLAIS RINDERBRATEN  VOM HALS UND HOHE RIPPE Schmorbraten oder für Gulasch|0|0|0|0|0|0|||Fachmetzgerei||Globus SB-Warenhaus Holding GmbH & Co. KG, Leipziger Str. 8, 66606 St. Wendel, Deutschland|1|1|kg|1|Kilogramm|0|1|Metzgerei|600|||||||||||1|||||||50|||1011|||cls_de_cc_320300
287029|287029|ST|Rinderbraten aus der Keule|Portioniert zu je ca. 1 kg. Gewichtsabweichung max. +/-10%; Aufgezogen und geschlachtet in der EU|Globus|5|||||||||||||||287029.jpg|||Zutaten: CHAROLAIS RINDERBRATEN  AUS DER KEULE mageres Bratenstück|0|0|0|0|0|0|||Fachmetzgerei||Globus SB-Warenhaus Holding GmbH & Co. KG, Leipziger Str. 8, 66606 St. Wendel, Deutschland|1|1|kg|1|Kilogramm|0|1|Metzgerei|600|||||||||||1|||||||50|||1011|||cls_de_cc_320300
