categoryIdStibo|parentIdCategoryStibo|name|metatitle|metadescription
cls_de_cc_E60100|cls_de_cc_E60000|Rasierer & Haarentfernung|"Rasierer & Haarentfernung bei Globus | Mehr erfahren"|Rasierer & Haarentfernung ⮞ Viel Auswahl in der Kategorie Beauty & Wellness ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Top Marken ✓ Jetzt zu Globus!
cls_de_cc_E60200|cls_de_cc_E60000|Zahnbürsten & Aufsätze|"Zahnbürsten & Aufsätze bei Globus | Jetzt ansehen"|Zahnbürsten & Aufsätze ⮞ Große Auswahl in der Kategorie Beauty & Wellness ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Beste Qualität ✓ Jetzt zu Globus!
cls_de_cc_E60300|cls_de_cc_E60000|Haarstyling|"Haarstyling bei Globus | Jetzt ansehen"|Haarstyling ⮞ Große Auswahl in der Kategorie Beauty & Wellness ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Beste Qualität ✓ Jetzt zu Globus!
cls_de_cc_E60400|cls_de_cc_E60000|Nagelpflege & Fußpflege|"Nagelpflege & Fußpflege bei Globus | Jetzt ansehen"|Nagelpflege & Fußpflege ⮞ Große Auswahl in der Kategorie Beauty & Wellness ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Beste Qualität ✓ Jetzt zu Globus!
cls_de_cc_E60500|cls_de_cc_E60000|Wärmetherapie|"Wärmetherapie bei Globus | Suchen und Finden"|Wärmetherapie ⮞ Riesige Auswahl in der Kategorie Beauty & Wellness ✓ Umtausch Garantie ✓ Beste Qualität ✓ Jetzt zu Globus!
cls_de_cc_E60600|cls_de_cc_E60000|Lichttherapie|"Lichttherapie bei Globus | Alle Angebote zeigen"|Lichttherapie ⮞ Große Auswahl in der Kategorie Beauty & Wellness ✓ Umtausch Garantie ✓ Beste Preise ✓ Alles und mehr bei Globus!
cls_de_cc_E60700|cls_de_cc_E60000|Massagegeräte|"Massagegeräte bei Globus | Jetzt informieren!"|Massagegeräte ⮞ Große Auswahl in der Kategorie Beauty & Wellness ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Beste Qualität ✓ Jetzt bei Globus vorbeischauen!
cls_de_cc_E60800|cls_de_cc_E60000|Gesichtspflegegeräte|"Gesichtspflegegeräte bei Globus | Mehr erfahren"|Gesichtspflegegeräte ⮞ Breite Auswahl in der Kategorie Beauty & Wellness ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Beste Qualität ✓ Jetzt zu Globus!
cls_de_cc_E60900|cls_de_cc_E60000|Saunaprodukte|"Saunaprodukte bei Globus | Jetzt stöbern & entdecken!"|Saunaprodukte ⮞ Viel Auswahl in der Kategorie Beauty & Wellness ✓ Umtausch Garantie ✓ Top Marken ✓ Jetzt zu Globus!
cls_de_cc_E70000|cls_de_cc_E00000|Küchengeräte|"Küchengeräte bei Globus | Jetzt stöbern & entdecken!"|Küchengeräte ⮞ Große Auswahl in der Kategorie Elektronik ✓ 3 Jahre Globus-Garantie auf viele Geräte ✓ Beste Preise ✓ Jetzt zu Globus!
