global.spryker.shop,Store App
picking.app.weight_per_unit,"Gewicht pro Einheit: "
picking.app.error_shelfID_wrong_letter,"Der erste Buchstabe muss Großbuchstaben sein"

storeapp.picking.barcode, Barcode
storeapp.picking.warning,"Achtung! Transportboxen scannen!"
storeapp.picking.MissingArticle, Fehlartikel
storeapp.picking.message.error.container-not-known, Container ID nicht bekant

picking.app.containers.select.title,Packstücke
picking.app.containers.add.container,Container hinzufügen
picking.app.containers.scan.for.container,Container scannen für
picking.app.containers.scan.container,Container scannen
picking.app.containers.all.packs.container,Alle Packstücke gescannt für
picking.app.containers.continue,Weiter

storeapp.container.to.shelf.container.label,Scan/Eingabe Container
storeapp.container.to.shelf.shelfID.label,Shelf ID
storeapp.innfopopup.lagerplatz.label,nicht zugeordnet
storeapp.innfopopup.under.information.label,bereits zugeordnet
storeapp.errorpopup.title,Fehler

multi.picking.header.overview,"Übersicht"
multi.picking.header.position.list,"Pos. Liste"
multi.picking.header.add.container,"Add Con."
multi.picking.save.button,Speichern
multi.picking.placeholder.input, Lagerplatz scannen
multi.picking.done.dialog.title, Picking fertig gestellt
multi.picking.done.dialog.button.submit, Scanning bestätigen
multi.picking.done.dialog.content, Du hast alle deine Container einem Lagerplatz zugeordnet?
multi.picking.order.dialog.title, Check deinen Pick
multi.picking.order.dialog.content, Zone fertigstellt oder willst du nochmal prüfen?
multi.picking.order.dialog.button, Zone Bestätigen
multi.picking.product.attribute.weight,Gewicht
multi.picking.substitutes.popupui.title,Ersatzartikel
multi.picking.substitutes.popupui.confirm.button,Ja
multi.picking.substitutes.popupui.cancel.button,Nein
multi.picking.substitutes.popupui.message,Ist ein Ersatzartikel vorhanden?

shelf.first.letter.large,Der erste Buchstabe muss Großbuchstaben sein
shelf.containerID.value.not.empty,ContainerID Wert sollte nicht leer sein
shelf.shelfID.value.not.empty,Shelf ID Wert sollte nicht leer sein
order.search.order.progress,Bestellung in Bearbeitung
order.search.order.unknown,Unbekannte Bestellung
shelf.not.all.fields.entered,Es werden nicht alle Felder eingegeben!
containerID.eighth.characters.set,"Container-ID muss eingestellt werden<br>und<br>8 Zeichen haben"
containerID.eighth.characters,Container-ID muss 8 Zeichen haben
overview.of.containers.customer,Kunde
overview.of.containers.position.piece,"Pos./Stck."
overview.of.containers.container,Container
overview.of.containers.comment,"Comm."
product-item.multiple.picking.placeholder,EAN scannen
popup.ui.info.container,"Container:"
popup.ui.info.storage.place,"Lagerplatz:"
popup.ui.info.order.number,"Bestellnummer:"
container.scan.order.please,Bitte Container scannen
container.does.not.exist_1,"Container:"
container.does.not.exist_2,"existiert nicht."
please.enter.weight,Bitte ein Gewicht angeben
containers.missing,Container fehlen
collect.by.customer.header,Pickup
wrong.ean,Falsche EAN
container.scan.order.error.pop-up_1,"Container:"
container.scan.order.error.pop-up_2,"ist bereits für Kunde"
container.scan.order.error.pop-up_3,""
container.scan.order.error.pop-up_4,"Bestellung:"
container.scan.order.error.pop-up_5,"aktiviert"
select.containers.add.box,Box hinzufügen
popup.success.ui_1,"wurde"
popup.success.ui_2,"zugeordnet"
barcode.length.error.alert,Der Barcode sollte 13 oder 8 Zeichen lang sein
input.value.error.greater.alert_1,"Der Eingabewert sollte nicht größer als "
input.value.error.greater.alert_2," sein"
input.value.error.less.alert_1,"Der Eingabewert sollte nicht kleiner als "
input.value.error.less.alert_2," sein"
picking.scanning-container.continue, "Weiter"
picking.scanning-container.cancel, "Abbrechen"
picking.scanning-container.isDepositAllowedChecked.popup.title, "Pfandbox"
picking.scanning-container.isDepositAllowedChecked.popup.text, "Der Kunde möchte Transportboxen. Bist du sicher, dass eine Transportbox gescannt wurde?"
