Facet;FacetValue;URL
1459;"Domácnost a zahrada/Zahrada/Trávníky, osiva/Travní směsi";/cz/domácnost-a-zahrada/zahrada/trávníky,-osiva/travní-směsi
1460;"Domácnost a zahrada/Zahrada/Trávníky, osiva/Osiva";/cz/domácnost-a-zahrada/zahrada/trávníky,-osiva/osiva
1461;"Domácnost a zahrada/Zahrada/Zahradní nářadí/Zahradní nůžky a nože";/cz/domácnost-a-zahrada/zahrada/zahradní-nářadí/zahradní-nůžky-a-nože
1462;"Domácnost a zahrada/Zahrada/Zahradní nářadí/Násady";/cz/domácnost-a-zahrada/zahrada/zahradní-nářadí/násady
1463;"Domácnost a zahrada/Zahrada/Zahradní nářadí/Rýče, lopaty, krumpáče";/cz/domácnost-a-zahrada/zahrada/zahradní-nářadí/rýče,-lopaty,-krumpáče
1464;"Domácnost a zahrada/Zahrada/Zahradní nářadí/Hrábě";/cz/domácnost-a-zahrada/zahrada/zahradní-nářadí/hrábě
1465;"Domácnost a zahrada/Zahrada/Zahradní nářadí/Sekery a pilky";/cz/domácnost-a-zahrada/zahrada/zahradní-nářadí/sekery-a-pilky
1466;"Domácnost a zahrada/Zahrada/Zahradní nářadí/Lopatky, motyčky";/cz/domácnost-a-zahrada/zahrada/zahradní-nářadí/lopatky,-motyčky
1467;"Domácnost a zahrada/Zahrada/Zahradní nářadí/Košťata";/cz/domácnost-a-zahrada/zahrada/zahradní-nářadí/košťata
1468;"Domácnost a zahrada/Zahrada/Zahradní nářadí/Pracovní rukavice";/cz/domácnost-a-zahrada/zahrada/zahradní-nářadí/pracovní-rukavice
1469;"Domácnost a zahrada/Zahrada/Zahradní nářadí/Na sníh";/cz/domácnost-a-zahrada/zahrada/zahradní-nářadí/na-sníh
1470;"Domácnost a zahrada/Zahrada/Zalévání, zavlažování/Přípojky, spojky";/cz/domácnost-a-zahrada/zahrada/zalévání,-zavlažování/přípojky,-spojky
1471;"Domácnost a zahrada/Zahrada/Zalévání, zavlažování/Hadice, pistole";/cz/domácnost-a-zahrada/zahrada/zalévání,-zavlažování/hadice,-pistole
1472;"Domácnost a zahrada/Zahrada/Zalévání, zavlažování/Konve";/cz/domácnost-a-zahrada/zahrada/zalévání,-zavlažování/konve
1473;"Domácnost a zahrada/Zahrada/Zalévání, zavlažování/Postřikovače, rozprašovače";/cz/domácnost-a-zahrada/zahrada/zalévání,-zavlažování/postřikovače,-rozprašovače
1474;"Domácnost a zahrada/Zahrada/Zalévání, zavlažování/Ostatní potřeby";/cz/domácnost-a-zahrada/zahrada/zalévání,-zavlažování/ostatní-potřeby
