content_banner.template.slider-without-link,"Velký banner se středním nadpisem a titulky bez odkazu"
content_banner.template.slider,"Velký banner se středním nadpisem a titulky"
content_banner.template.banner-for-mobile,Banner with mobile images

Alt-text,"Alt-Text"
"Click URL","Klik URL"
content_banner.template.bottom-title,"Titul níže"
content_banner.template.default,"Standard"
content_banner.template.top-title,"Titul výše"
"Image URL","Obrázek URL"
Subtitle,"Podtitul"
Title,"Titul"
