content_banner.template.slider-without-link,Großes Banner mit mittlerem Titel und Untertitel ohne Link
content_banner.template.slider,Großes Banner mit mittlerem Titel und Untertitel
content_banner.template.banner-for-mobile,Banner with mobile images

Alt-text,Alt-Text
"Click URL",Klick-URL
content_banner.template.bottom-title,"Titel unten"
content_banner.template.default,Standard
content_banner.template.top-title,"Titel oben"
"Image URL","Bild URL"
Subtitle,Untertitel
Title,Titel
